component_name,price,currency,store,url,scraped_at
Carcasă Gamemax Silent Hill Black mATX,599.00,MDL,darwin.md,https://darwin.md/case-matx-gamemax-silent-hill-black.html,2026-06-12 22:02:15
Carcasă Gamemax Starlight 2 AB Black micro ATX,899.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-starlight-2-ab-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Storm 2 AB Black micro ATX,899.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-storm-2-ab-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Storm Black micro ATX,559.00,MDL,darwin.md,https://darwin.md/carcase-pc-gamemax-storm-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Gamemax Vista COC AB Black ITX,999.00,MDL,darwin.md,https://darwin.md/carcasa-gamemax-vista-coc-ab-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 2810BK Black micro ATX,689.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-2810bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 2812BK Black micro ATX,959.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-2812bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 2813BK Black micro ATX,739.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-2813bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 2815BK Black micro ATX,979.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-2815bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 6503BK Black micro ATX,689.00,MDL,darwin.md,https://darwin.md/matx-500w-sohoo-6503bk-black.html,2026-06-12 22:02:15
Carcasă Sohoo 6519BK Black micro ATX,689.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-6519bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Sohoo 6521BK Black micro ATX,959.00,MDL,darwin.md,https://darwin.md/carcasa-sohoo-6521bk-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Xilence X505 Black micro ATX,1139.00,MDL,darwin.md,https://darwin.md/carcasa-xilence-x505-mid-tower-black.html,2026-06-12 22:02:15
Carcasă Xilence X512.W.RGB White micro ATX,1119.00,MDL,darwin.md,https://darwin.md/carcasa-xilence-x512wrgb-mid-tower-white.html,2026-06-12 22:02:15
"Carcasă be quiet! Light Base 900 DX, White",3309.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/be-quiet-light-base-900-dx-white,2026-06-12 22:02:15
"Carcasă darkFlash FLOATRON F1, Black",1819.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/darkflash-floatron-f1-black,2026-06-12 22:02:15
"Carcasă darkFlash FLOATRON F1, White",1819.00,MDL,xstore.md,https://xstore.md/componente-pc/carcase/darkflash-floatron-f1-white,2026-06-12 22:02:15
Cooler Be quiet! Dark Rock 5 Black,1899.00,MDL,darwin.md,https://darwin.md/cooler-be-quiet-dark-rock-5-fluid-dynamic-bearing-2100-rpm-black-nu.html,2026-06-12 22:02:15
Cooler Be quiet! Dark Rock Pro 5 Black,2499.00,MDL,darwin.md,https://darwin.md/cooler-be-quiet-dark-rock-pro-5-hidrodinamic-1500-rpm-black.html,2026-06-12 22:02:15
Cooler Be quiet! Pure Rock 3 LX Black,849.00,MDL,darwin.md,https://darwin.md/cooler-be-quiet-pure-rock-3-lx-rifle-2000-rpm-black-argb.html,2026-06-12 22:02:15
Cooler Be quiet! Pure Rock Pro 3 Black,1199.00,MDL,darwin.md,https://darwin.md/cooler-be-quiet-pure-rock-pro-3-sleeve-bearing-2000-rpm-black-nu.html,2026-06-12 22:02:15
Cooler Deepcool AG300 Black,289.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-ag300-black.html,2026-06-12 22:02:15
Cooler Deepcool AG300 LED Black,299.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-ag300-led-black.html,2026-06-12 22:02:15
Cooler Deepcool ARCHER BIGPRO V2 Black,339.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-archer-bigpro-v2-hydro-bearing-2000-rpm-black.html,2026-06-12 22:02:15
Cooler Deepcool ARCHER PRO V2 Black,249.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-archer-pro-v2-hidrodinamic-1600-rotmin-black-nu.html,2026-06-12 22:02:15
Cooler Deepcool ARCHER V2 Black,159.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-archer-v2-hidrodinamic-1600-rotmin-black-nu.html,2026-06-12 22:02:15
Cooler Deepcool THETA 15 PWM Silver,159.00,MDL,darwin.md,https://darwin.md/deepcool-theta15-pwm.html,2026-06-12 22:02:15
Cooler Deepcool THETA 20 PWM 1700 Black,179.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-theta-20-pwm-1700-black.html,2026-06-12 22:02:15
Cooler Deepcool THETA 21 PWM 1700 Black,199.00,MDL,darwin.md,https://darwin.md/cooler-deepcool-theta-21-pwm-1700-black.html,2026-06-12 22:02:15
Cooler Gamemax GMX-WFBK BK Black,49.00,MDL,darwin.md,https://darwin.md/cooler-gamemax-gmx-wfbk-bk-black.html,2026-06-12 22:02:15
Cooler Gamemax Ice-Blade ARGB Black,399.00,MDL,darwin.md,https://darwin.md/cooler-gamemax-ice-blade-argb-hydro-bearing-1600-rpm-black.html,2026-06-12 22:02:15
Cooler Gamemax Ice-Blade Black,329.00,MDL,darwin.md,https://darwin.md/cooler-gamemax-ice-blade-hydro-bearing-1600-rpm.html,2026-06-12 22:02:15
